Isolate,IS110,IS1182,IS1595,IS21,IS256,IS3,IS4,IS5,IS630,IS701,ISL3
YO366,1,0,0,1,1,12,0,75,0,0,0
YO144,1,0,0,0,0,8,0,23,0,0,0
YO092,1,0,0,1,1,12,0,73,0,0,0
YO283,1,0,0,1,1,12,0,72,0,0,0
YO240,1,0,0,1,1,12,0,74,0,0,0
YO202,1,0,0,1,1,10,0,77,0,0,0
YO222,1,0,0,1,1,12,0,72,0,0,0
YO091,1,0,0,1,1,12,0,75,0,0,0
YO174,1,0,0,1,1,13,0,75,0,0,0
YO095,1,0,0,1,1,12,0,75,0,0,0
YO175,1,0,0,1,1,12,0,73,0,0,0
YO093,1,0,0,1,1,12,0,71,0,0,0
YO176,1,0,0,1,1,12,0,73,0,0,0
YO148,1,0,0,1,1,12,0,71,0,0,0
YO008,1,0,0,1,1,13,0,73,0,0,0
YO010,1,0,0,1,1,11,0,77,0,0,0
YO147,1,0,0,1,1,11,0,71,0,0,0
YO123,1,0,0,1,1,12,0,70,0,0,0
YO112,1,0,0,1,1,12,0,71,0,0,0
YO072,2,0,0,1,1,12,0,77,0,0,0
YO162,1,0,0,1,1,13,0,74,0,0,0
YO285,1,0,0,1,1,13,0,74,0,0,0
YO286,1,0,0,1,1,12,0,71,0,0,0
YO047,1,0,0,1,1,12,0,75,0,0,0
YO281,1,0,0,1,1,12,0,71,0,0,0
YO308,1,0,0,1,1,12,0,74,0,0,0
YO266,1,0,0,1,1,13,0,72,0,0,0
YO307,1,0,0,1,1,12,0,75,0,0,0
YO227,1,0,0,1,1,12,0,73,0,0,0
YO269,1,0,0,1,1,12,0,75,0,0,0
YO264,1,0,0,1,1,12,0,72,0,0,0
YO248,1,0,0,1,1,12,0,74,0,0,0
YO224,1,0,0,1,1,12,0,73,0,0,0
YO064,1,0,0,1,1,12,0,71,0,0,0
YO268,1,0,0,1,1,11,0,66,0,0,0
YO284,1,0,0,1,1,12,0,76,0,0,0
YO351,1,0,0,1,1,12,0,76,0,0,0
YO350,1,0,0,1,1,12,0,66,0,0,0
YO265,1,0,0,1,1,12,0,71,0,0,0
YO271,1,0,0,1,1,10,0,73,0,0,0
YO012,1,0,0,1,1,12,0,72,0,0,0
YO353,1,0,0,1,1,12,0,66,0,0,0
YO180,1,0,0,1,1,12,0,75,0,0,0
YO205,1,0,0,1,1,12,0,75,0,0,0
YO238,1,0,0,1,1,11,0,78,0,0,0
YO339,1,0,0,1,1,13,0,70,0,0,0
YO208,1,0,0,1,1,12,0,74,0,0,0
YO225,1,0,0,1,1,12,0,74,0,0,0
YO045,1,0,0,1,1,12,0,72,0,0,0
YO044,1,0,0,1,1,14,0,66,0,0,0
YO362,1,0,0,1,1,12,0,74,0,0,0
YO087,1,0,0,1,1,13,0,71,0,0,0
YO114,1,0,0,1,1,12,0,76,0,0,0
YO116,1,0,0,1,1,12,0,73,0,0,0
YO115,1,0,0,1,1,12,0,74,0,0,0
YO048,1,0,0,0,1,12,0,67,0,0,0
YO126,1,0,0,1,1,12,0,75,0,0,0
YO125,1,0,0,1,1,12,0,77,0,0,0
YO219,1,0,0,1,1,12,0,78,0,0,0
YO206,1,0,0,1,1,11,0,76,0,0,0
YO196,1,0,0,1,1,11,0,77,0,0,0
YO235,1,0,0,1,1,11,0,73,0,0,0
YO233,1,0,0,1,1,11,0,73,0,0,0
