Isolate,Phylotype,ISBma3,ISBma2,ISRsy1,ISRme4,ISRso7,IS401,ISAisp2,ISButh1,ISRso10,ISRso11,ISRso12,ISRso14,ISRso16,ISRso20,ISRso13,IS1021,IS1405,IS1420,IS1421,ISRso1,ISRso18,ISRso9,Unknown_IS5,ISVei4,ISRso17,ISRso15
YO226,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,0,0,0,1,1,0,0,0,0,0
YO223,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,0,0,0,0,0,0,0
YO246,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,68,1,0,0,1,1,0,0,0,0,0
YO301,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,1,1,0,0,0,0,0,0
YO086,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,1,0,1,0,1,0,0,0,0,0
YO236,IIB,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,75,1,0,0,1,0,0,0,0,0,0
YO181,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,0,0,0,0,0,0
YO302,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,0,0,0,1,1,0,0,0,0,0
YO183,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,0,0,0,0,0,0
YO354,IIB,1,0,0,1,1,0,0,0,7,0,0,0,1,5,0,71,1,0,0,1,0,0,0,0,0,0
YO270,IIB,1,0,0,0,1,0,0,0,6,0,0,0,1,4,0,67,0,0,0,1,1,0,0,0,0,0
YO229,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,0,0,0,0,0,0,0,0
YO228,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,1,0,0,0,0,0
YO342,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,67,1,0,1,1,1,0,0,0,0,0
YO218,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,3,0,58,1,0,1,1,1,0,0,0,0,0
YO146,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,1,0,0,0,0,0
YO004,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,0,0,1,0,1,0,0,0,0,0
YO132,IIB,2,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,1,0,0,1,0,0,0,0,0,0
YO013,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,77,1,0,1,1,1,0,0,0,0,0
YO165,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,1,0,0,1,0,0,0,0,0,0
YO051,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,0,1,0,0,0,0,0
YO263,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,0,0,0,0,0,0
YO221,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,1,0,0,1,0,0,0,0,0,0
YO306,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,1,0,0,0,0,0,0,0
YO261,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,68,1,0,0,0,0,0,0,0,0,0
YO267,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,1,0,1,1,0,0,0,0,0,0
YO260,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,0,1,0,0,0,0,0,0
YO062,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,0,0,0,0,0,0,0,0
YO272,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,0,1,0,0,0,0,0,0
YO341,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,68,0,0,0,0,1,0,0,0,0,0
YO173,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,74,1,0,0,1,1,0,0,0,0,0
YO245,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,1,0,0,1,1,0,0,0,0,0
YO247,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,0,0,0,1,0,0,0,0,0,0
YO279,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,1,0,1,1,0,0,0,0,0,0
YO334,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,1,1,0,0,0,0,0,0
YO273,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,0,0,0,0,0,0
YO277,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,75,0,0,0,1,0,0,0,0,0,0
YO344,IIB,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,75,1,0,0,1,1,0,0,0,0,0
YO117,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,73,1,0,0,1,1,0,0,0,0,0
YO330,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,68,0,0,0,1,1,0,0,0,0,0
YO011,IIB,1,0,0,1,1,0,0,0,8,0,0,0,1,4,0,64,0,0,0,1,1,0,0,0,0,0
YO212,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,75,1,0,1,0,1,0,0,0,0,0
YO068,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,1,0,0,1,0,0,0,0,0,0
YO333,IIB,1,0,0,1,1,0,0,0,7,0,0,0,1,5,0,66,0,0,0,1,1,0,0,0,0,0
YO303,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,1,1,0,0,0,0,0,0
YO371,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,6,0,67,1,0,0,1,0,0,0,0,0,0
YO254,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,1,0,0,1,1,0,0,0,0,0
YO054,IIB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
YO255,IIB,1,0,0,1,1,0,0,0,7,0,0,0,1,5,0,73,1,0,0,1,1,0,0,0,0,0
YO256,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,1,1,0,0,0,0,0,0
YO094,IIB,1,0,0,0,1,0,0,0,6,0,0,0,1,5,0,72,0,0,0,1,1,0,0,0,0,0
YO170,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,1,1,1,0,0,0,0,0
YO357,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,1,0,0,1,1,0,0,0,0,0
YO363,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,1,0,0,1,0,0,0,0,0,0
YO364,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,73,1,0,1,1,1,0,0,0,0,0
YO366,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,0,0,1,1,1,0,0,0,0,0
YO144,IIB,1,0,0,0,0,0,0,0,5,0,0,0,1,2,0,22,0,0,1,0,0,0,0,0,0,0
YO092,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,0,0,0,1,1,0,0,0,0,0
YO283,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,0,1,0,0,0,0,0,0
