Isolate,ISBma3,ISBma2,ISRsy1,ISRme4,ISRso7,IS401,ISAisp2,ISButh1,ISRso10,ISRso11,ISRso12,ISRso14,ISRso16,ISRso20,ISRso13,IS1021,IS1405,IS1420,IS1421,ISRso1,ISRso18,ISRso9,Unknown_IS5,ISVei4,ISRso17,ISRso15
YO313,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,1,0,2,1,1,0,0,0,0,0
YO071,1,0,0,1,1,0,0,0,6,0,0,0,1,4,0,75,1,0,0,1,1,0,0,0,0,0
YO290,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,1,0,0,0,0,0
YO319,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,68,1,0,0,1,1,0,0,0,0,0
YO282,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,0,0,0,0,0,0,0
YO299,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,0,1,0,0,0,0,0,0
YO327,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,1,0,1,1,1,0,0,0,0,0
YO310,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,68,1,0,1,1,0,0,0,0,0,0
YO060,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,1,0,0,1,0,0,0,0,0,0
YO311,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,1,0,0,1,1,0,0,0,0,0
YO252,1,0,0,1,1,0,0,0,6,0,0,0,1,4,0,71,1,0,1,1,1,0,0,0,0,0
YO298,1,0,0,1,1,0,0,0,7,0,0,0,1,5,0,73,1,0,0,1,1,0,0,0,0,0
YO315,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,0,0,0,1,1,0,0,0,0,0
YO294,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,1,0,0,1,1,0,0,0,0,0
YO322,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,66,0,0,1,1,1,0,0,0,0,0
